artist,genre,birthdate1,birthdate2,birthdate3,birthdate,deathdate1,deathdate2,deathdate3,deathdate,deathage
Alan Wilson (musician),Blues rock,7/4/1943,7/4/1943,7/4/1943,1943,9/3/1970,9/3/1970,9/3/1970,1970,27
André Pretorius (musician),Punk rock,8/2/1961,8/2/1961,8/2/1961,1961,10/13/1988,10/13/1987,10/13/1988,1988,27
Audie Pitre,Sludge metal,10/5/1970,10/5/1970,10/5/1970,1970,1/23/1997,1/23/1997,1/23/1997,1997,27
Bob Gordon (saxophonist),Jazz,6/11/1928,6/11/1928,6/11/1928,1928,8/28/1955,8/28/1955,8/28/1955,1955,27
Brian Jones,Psychedelic rock,2/28/1942,2/28/1942,28,1942,7/3/1969,3,7/3/1969,1969,27
Chris Bell (musician),Rock music,1/25/1951,1/12/1951,1/25/1951,1951,12/27/1978,12/27/1978,12/27/1978,1978,27
D. Boon,Alternative rock,4/1/1958,4/1/1958,4/1/1958,1958,12/22/1985,12/22/1985,12/22/1985,1985,27
Disco D,Ghettotech,9/21/1980,9/21/1980,9/21/1980,1980,1/22/2007,1/22/2007,1/22/2007,2007,27
Fats Navarro,Jazz,9/24/1923,9/24/1923,9/24/1923,1923,7/6/1950,7/6/1950,7/7/1950,1950,27
Gram Parsons,Country music,11/5/1946,11/5/1946,11/5/1946,1946,9/19/1973,9/19/1973,9/19/1973,1973,27
Hidden@33837542,Rock and roll,11/23/1940,11/23/1940,,1940,12/22/1967,,12/22/1967,1967,27
Janis Joplin,Blues rock,1/19/1943,1/19/1943,1/19/1943,1943,10/4/1970,10/4/1970,10/4/1970,1970,27
Kami (musician),Progressive rock,2/1/1972,2/1/1972,2/1/1973,1972,6/21/1999,6/21/1999,6/21/1999,1999,27
Kurt Cobain,Grunge,2/20/1967,2/20/1967,2/20/1967,1967,4/5/1994,-1,4/5/1994,1994,27
Marvin Humes,Pop music,3/18/1985,3/18/1985,18,1985,,2012,,2012,27
Noel Rosa,Samba,12/11/1910,12/11/1910,12/11/1910,1910,5/4/1937,5/4/1937,5/4/1937,1937,27
Overkill L.A.,Hardcore punk,1/19/1943,1/19/1943,1/19/1943,1943,10/4/1970,10/4/1970,10/4/1970,1970,27
Pan Head,Reggae,,,1966,1966,,1993,,1993,27
Robert Johnson,Delta blues,5/8/1911,5/8/1911,1911,1911,8/16/1938,1938,8/16/1938,1938,27
Rodrigo Bueno,Cuarteto Arena,5/24/1973,5/24/1973,24,1973,6/24/2000,24,6/24/2000,2000,27
Tanguito,Rock and roll,9/16/1945,9/16/1945,9/16/1945,1945,5/19/1972,5/19/1972,Buenos_Aires,1972,27
Troy Newman (Australian singer),Rock music,,,1970,1970,,1997,,1997,27
Valentín Elizalde,Banda music,2/1/1979,2/1/1979,2/1/1979,1979,11/25/2006,11/25/2006,11/25/2006,2006,27
Yutaka Ozaki,Japanese Rock,11/29/1965,11/29/1965,11/29/1965,1965,4/25/1992,4/25/1992,4/25/1992,1992,27
